file_demo,cohort,description
DEMO.xpt,1999-2000,demographics and sample weights
DEMO_B.xpt,2001-2002,demographics and sample weights
DEMO_C.xpt,2003-2004,demographics and sample weights
DEMO_D.xpt,2005-2006,demographics and sample weights
DEMO_E.xpt,2007-2008,demographics and sample weights
DEMO_F.xpt,2009-2010,demographics and sample weights
DEMO_G.xpt,2011-2012,demographics and sample weights
DEMO_H.xpt,2013-2014,demographics and sample weights
DEMO_I.xpt,2015-2016,demographics and sample weights
DEMO_J.xpt,2017-2018,demographics and sample weights
DEMO_L.xpt,2021-2023,demographics and sample weights
P_DEMO.xpt,2017-2020,demographics and sample weights
